IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
14.39.43.121,39985,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,304,6.81
211.55.202.96,39893,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,325,6.80
61.73.230.50,39847,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,319,6.80
121.149.121.176,39954,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,317,6.79
118.222.219.124,39991,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,337,6.74
121.137.58.166,39987,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,302,6.72
218.153.122.205,39883,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,331,6.72
112.163.230.70,39859,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,309,6.72
58.227.226.238,39983,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,353,6.71
121.179.166.89,39892,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,319,6.69
121.181.17.93,39906,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,313,6.69
118.41.163.140,39954,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,324,6.68
211.218.172.46,39885,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,333,6.67
110.46.14.124,39860,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,367,6.66
175.125.207.253,39894,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,306,6.65
14.44.32.251,39866,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,306,6.64
220.87.104.90,39954,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,313,6.64
118.46.222.184,50032,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,284,6.62
218.155.250.218,50027,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,297,6.62
14.45.121.195,50025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,296,6.61
116.121.96.103,50036,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,321,6.60
59.14.218.144,50025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,314,6.58
121.189.83.57,39970,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,374,6.58
210.183.35.135,39995,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,299,6.58
106.251.50.133,50031,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,370,6.58
175.209.202.142,39898,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,331,6.58
14.44.61.169,39949,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,299,6.57
222.104.159.198,39894,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,312,6.56
121.136.243.22,39855,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,309,6.55
61.85.230.208,39932,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,326,6.54
121.181.17.93,39979,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,289,6.54
210.183.35.135,39842,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,314,6.54
183.97.43.222,39929,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,319,6.53
210.90.151.247,39977,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,316,6.52
211.198.86.60,39896,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,370,6.51
121.181.17.93,39948,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,314,6.50
220.126.157.182,39865,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,323,6.50
59.22.22.125,39841,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,323,6.50
58.76.29.241,39913,TRUE,ICN,KR,Asia Pacific,Seoul,17586,LG HelloVision Corp.,315,6.49
